,index,layer,chord_class,num_in_layer,count,chord_class_name,enantiomer
0,0,1,"(0,)",1,12,"(0,)",non-chiral
1,5,2,"(0, 6)",6,6,"(0, 6)",non-chiral
2,4,2,"(0, 5)",5,12,"(0, 5)",non-chiral
3,3,2,"(0, 4)",4,12,"(0, 4)",non-chiral
4,2,2,"(0, 3)",3,12,"(0, 3)",non-chiral
5,1,2,"(0, 2)",2,12,"(0, 2)",non-chiral
6,0,2,"(0, 1)",1,12,"(0, 1)",non-chiral
7,18,3,"(0, 4, 8)",19,4,augmented_triad,non-chiral
8,17,3,"(0, 3, 8)",18,12,major_triad,minor_triad
9,16,3,"(0, 3, 7)",17,12,minor_triad,major_triad
10,15,3,"(0, 3, 6)",16,12,diminished_triad,non-chiral
11,14,3,"(0, 2, 9)",15,12,"(0, 2, 9)",weird_fishes
12,13,3,"(0, 2, 8)",14,12,"(0, 2, 8)","[0, 10, 4]"
13,12,3,"(0, 2, 7)",13,12,quartal_triad,non-chiral
14,11,3,"(0, 2, 6)",12,12,"(0, 2, 6)","[0, 10, 6]"
15,10,3,"(0, 2, 5)",11,12,weird_fishes,"[0, 10, 7]"
16,9,3,"(0, 2, 4)",10,12,do_re_mi,non-chiral
17,8,3,"(0, 1, 10)",9,12,re_mi_fa,mi_fa_so
18,7,3,"(0, 1, 9)",8,12,"(0, 1, 9)","[0, 11, 3]"
19,6,3,"(0, 1, 8)",7,12,"(0, 1, 8)",willy_wonka
20,5,3,"(0, 1, 7)",6,12,"(0, 1, 7)","[0, 11, 5]"
21,4,3,"(0, 1, 6)",5,12,"(0, 1, 6)","[0, 11, 6]"
22,3,3,"(0, 1, 5)",4,12,willy_wonka,"[0, 11, 7]"
23,2,3,"(0, 1, 4)",3,12,"(0, 1, 4)","[0, 11, 8]"
24,1,3,"(0, 1, 3)",2,12,mi_fa_so,re_mi_fa
25,0,3,"(0, 1, 2)",1,12,"(0, 1, 2)",non-chiral
26,42,4,"(0, 3, 6, 9)",43,3,diminished_seventh,non-chiral
27,41,4,"(0, 2, 6, 9)",42,12,dominant_seventh,half_diminished_seventh
28,40,4,"(0, 2, 6, 8)",41,6,"(0, 2, 6, 8)",non-chiral
29,39,4,"(0, 2, 5, 9)",40,12,minor_seventh,non-chiral
30,38,4,"(0, 2, 5, 8)",39,12,half_diminished_seventh,dominant_seventh
31,37,4,"(0, 2, 5, 7)",38,12,4_stacked_fourths,non-chiral
32,36,4,"(0, 2, 4, 9)",37,12,"(0, 2, 4, 9)",ff_major
33,35,4,"(0, 2, 4, 8)",36,12,"(0, 2, 4, 8)",non-chiral
34,34,4,"(0, 2, 4, 7)",35,12,ff_major,"[0, 10, 8, 5]"
35,33,4,"(0, 2, 4, 6)",34,12,"(0, 2, 4, 6)",non-chiral
36,32,4,"(0, 1, 8, 10)",33,12,"(0, 1, 8, 10)","[0, 11, 4, 2]"
37,31,4,"(0, 1, 7, 10)",32,12,"(0, 1, 7, 10)","[0, 11, 5, 2]"
38,30,4,"(0, 1, 7, 9)",31,12,"(0, 1, 7, 9)","[0, 11, 5, 3]"
39,29,4,"(0, 1, 6, 10)",30,12,"(0, 1, 6, 10)","[0, 11, 6, 2]"
40,28,4,"(0, 1, 6, 9)",29,12,inv_dim_major_seventh,diminished_major_seventh
41,27,4,"(0, 1, 6, 8)",28,12,cfgb,fabe
42,26,4,"(0, 1, 6, 7)",27,6,"(0, 1, 6, 7)",non-chiral
43,25,4,"(0, 1, 5, 10)",26,12,careless_whisper,primordial_ooze
44,24,4,"(0, 1, 5, 9)",25,12,augmented_major_seventh,minor_major_seventh
45,23,4,"(0, 1, 5, 8)",24,12,major_seventh,non-chiral
46,22,4,"(0, 1, 5, 7)",23,12,fabe,cfgb
47,21,4,"(0, 1, 5, 6)",22,12,"(0, 1, 5, 6)",non-chiral
48,20,4,"(0, 1, 4, 10)",21,12,"(0, 1, 4, 10)","[0, 11, 8, 2]"
49,19,4,"(0, 1, 4, 9)",20,12,"(0, 1, 4, 9)",non-chiral
50,18,4,"(0, 1, 4, 8)",19,12,minor_major_seventh,augmented_major_seventh
